GC,lon,lat,type,Description
GC11A02,40.32808,-122.16408,Type.traditional,take the geo dog he will love it there are some cows different times of the year i have never had one chase me but they do watch your every move there are 2 gates to go through make sure you close them as you go through the cache is easy to find very easy after you find the cache go another 50 feet down the trail look up the hill there you will find the bear cave it is nice and cool during the summer
GC11A8X,42.2527,-88.24098,Type.traditional,this cache had needed rescuing and resuscitation so the doctor paid a visit after triage some cosmetic surgery and a little transplantation of contents this cache has recovered nicely the prognosis is good for this cache in its new location
GC11BER,40.58898,-122.41697,Type.traditional,bring your own writing impliment
GC11C6X,37.6324,-121.77257,Type.traditional,while on this walk my neice and my wife both spoted this good place to hide a cach so we did it is a mile walk to this cach over moastly paved trails
GC11CP2,33.84678,-84.90802,Type.traditional,this is the third of three caches placed along rock crusher road all the caches will be close to the trail and in paulding forest which is a wildlife management property owned by the city of atlanta and run by georgia dnr this is a public hunting area and the proper precautions need to be taken when hiking in this area either be aware of when big game hunting is in season or wear blaze orange for more information on paulding forest check outvisit link heres some links for you visit link this is a slightly better base map of paulding forest than you will find anywhere online i got it by calling the paulding forest rangers station its hosted off geocachingcom so that it will remain a large sized image and note that it will be a 146 mb download visit link here you can find out when hunting season will be i dont want to post them on here because i would hate to forget one and then have people assume that there is no game currently in season just keep in mind that its best just to wear blaze orange if you are unsure
GC11G09,37.26487,-113.1777,Type.traditional,take hyway 9 out of laverkin and head toward virgin just befor you get to virgin take a left on mesa rdand follow your gps
GC11HH5,46.91602,-123.91762,Type.traditional,this is a micro film container there is no puzzle to solve you should not need any nudges on this one old guys out of shape can find this one ok just one of my normal micros in a spot where we needed a cache good luck another ftf for squarehead good job
GC11Q3W,41.60242,-91.5487,Type.traditional,the cache is located on the turn around point at a dead end that overlooks the highway ample parking is available just try not to get your car stuck once on site your task is to find the container it is camouflaged very well and also hidden very well the areas to the north and south of the dead end are private property but you need not travel anywhere near those areas in search for this one good luck
GC11V5D,46.97005,-123.82228,Type.traditional,i have found some of the neatest caches since i started this hobby thanks to some very smart and cleaver people trying to keep up with them has been a real challenge but i keep coming up short so i set out today to try and at least come up with something that the view would take your breath after you reach the cache being older than most today i set out walking slowly down dirt roads crossed logs over swollen creeks and even fell into a ditch at one time today i thought i would have to make a rope swing to get where i wanted to be i was rewarded with a view this evening that puts all my other ones to shame try and locate this one as the sun is going down make sure you bring your glasses camera walking stick and a water jug or two those that ride bikes sorry this is not a good area please point your camera west so you can snap a great picture of the world yup you can see it all here looking west as you sign the log enjoy the world also remember it is only a 15 15 so do not believe everything written here again congrats squarehead you have your ftf for the month
GC11VJ6,34.46352,-119.65702,Type.traditional,been here a lot so i put a cache there
GC11YJ2,37.48948,-113.33625,Type.traditional,local legend is that an old indian named comance once lived in this cave there isnt much room so either he was a small indian or maybe it has caved in some since he was there in the spring the overflow from the comance spring pipeline will be dumping into the rock ditch which is somewhat of a marvel considering when and how it was made
GC1217D,34.1895,-114.37698,Type.traditional,cache cocntains small items log book in a clear plastic jar container
GC123FA,43.31168,-91.77962,Type.traditional,as a boy i did alot of hiking climbing and cross country skiing on this hill while i wanted to hide this closer to the cliffs that are above ice cave and that overlook decorah i thought it would be better to just bring people to the area and let them explore the area on their own there are no cliffs close to the cache there are many ways to reach this cache here are some the main ways 1 from the dunning springs parking lot approx n43 18672 w91 47472 the hike will start southeast up a fairly steep path where at the top the hiker will be rewarded with a beautiful view of decorah from the overlook from there it is about a 5 mile hike on paths to the cache location 2 from the parking near n43 18588 w91 46464 this hike will go west and will follow mountain bike paths up the back side of the hill this route is the fairly easy but may be the muddiest be careful of bikers going up or down the hill 3 from the parking near n43 1863 w91 47238 which is on ice cave road about 3 miles west of ice cave there path to the southeast allows for a fairly easy hike up the hill but may be muddy due to mountain bike use lands with the ftf
GC12C80,45.9678,-122.5955,Type.traditional,
GC12F3C,47.18902,-124.19927,Type.traditional,if you only visit to the beach on a weekend find this cache and take a picture home this would be a great screen saver to remind you what you miss durning the week and for those of us who live here what we have in our back yard a great view also for the older bunch this is one for us as it was placed by one of the very older bunch you are looking for key holder some how i thought chops maybe tftf on this glad you enjoyed
GC12F46,42.70958,-102.98233,Type.mystery,take job corps cut across road off 385 at 424062310258300 or come in from the east after doing the cliffs cache watch for windmill and gate at 424260010257530 also at this spot find 3diget section number and 2diget unit numberthese will be used in figuring location of cache you can drive within one half mile of cache if your vehicle has a little clearance i have driven biked and hiked to this area you can park on either side of the third gate and follow the trail and gps sw to the cache be sure to take a flashlight coords were take in clearing 1520 from cave to figure coords for cache n4242575 +3diget section +1332 n w10258940 +2diget +41097 w any problems with this please send me an email
GC12FE,34.226,-118.1295,Type.traditional,the cache is a clear plastic container with a blue lid the cache has jpl hiking club tshirts a disposable camera and various other odds and ends the cache began as a geocaching contest for jpl hiking+ the jpl hiking club
GC12HG1,43.56182,-95.6229,Type.traditional,this cache was placed while on a kayaking venture on a sunny windy day you will have no problem finding this cache which is accessible by kayak boat pontoon canoe surfboard yacht submarineyou get it you are lokking for a large plastic container covered in camo tape something for everyone in it
GC12HP6,40.6501,-121.43298,Type.traditional,we were on a quad ride with friends when we discovered king toads hole the hide is just up the trail $500 for first to find with gas prices the way they are you will need it be sure to explore the area lots of awesome caves to find there are also deep holes great hike for kids and dogs but keep watch for the lizzards
GC12MNK,38.77773,-121.22835,Type.traditional,cache is small bottle cammoed to match area please replace as found enjoy this area within a few months it will be houses everywhere this trail is supposed to intersect with the roseville bike path someday
GC12VE1,39.0787,-87.84352,Type.traditional,the hill to the north west is known to the older locals as coal mine hill from the late 1920s till the 1940s there was a steam powered shaft mine for coal located on top of the hill it is a park and grab about the size of the end your little finger this one should help with your numbers as all ways it is about getting out side and having fun
GC12W18,45.84265,-92.73942,Type.traditional,during the 1800s pigment was discovered at this location and was mined for many years to make paint i had thought that they mined red pigment the kind used to paint many barns but i recently found out it was actually a bright blue pigment many of the original structures still exist here including the water wheel the piping and the dam which holds up the mill pond this cache can be accessed by land park at the end of paint mine road and take the trail down to the river to get you within 100 feet of the cache or by sea beach your canoe at the picnic area along the st croix river and then walk up the woods are very peaceful with abundant wildlife and the sound of falling water from several small creeks nearby enjoy a picnic down on the st croix river after your stay here the cache is a camouflaged locklock container the coordinates may be a little off as my gps had a problem with the leaf cover the hint should help the geocache notification form has been submitted to dan thill of the wisconsin dnr geocaches placed on wisconsin department of natural resource managed lands require permission by means of a notification form please print out a paper copy of the notification form fill in all required information then submit it to the land manager the dnr notification form and land manager information can be obtained at visit link
GC12W8A,33.7114,-117.16952,Type.traditional,short hike up the hill beyond the large bolders and debris that the previous home builders have left behind this can be reached day or night but you definately need a flashlight after you find the entrance to the cave you will need to proceed approximately 30 feet inside the cave being cautious of the cave dwellers be sure to make a quick exit out of the cave after the grab
GC12Z56,44.28655,-87.77082,Type.traditional,this is a kid friendly cache you are looking for a tupperware container it is hidden by my 5 year old so it is easy kids to find there are items to swap sign in and enjoy exploring bring a flash light and take advantage of the other hiding areas
GC131H9,34.2195,-116.97225,Type.traditional,what a beautiful area to venture back into bluff lake is nearby making the trip worth your while the coordinates were triangulated because of the area of ground zero being so wooded you are looking for a large container full of goodies and a ftf prize bag mandy the pandy tb is making her debut in the cache congratulations to mymagic on the ftf thanks for coming out
GC133TD,33.70437,-117.17102,Type.traditional,team searchof placed this cache on tuesday the 22nd this one can be reached by parking at the end of the street then walking east around the homes then southwest towards the cache note there is only one area in this neighborhood where you can enter into undeveloped area without jumping over a fence i discoved this cave about 9 years ago and thought is was demolished by the new homes it appears to be part of a natural cave but is only about 20 feet deep you will need to enter the cave to find the cache a flashlight would make it easier to find but during the daytime some light reaches back into the cave at time of placement the cache contained 4x4 southern california geo coin new tire guage new hot wheel car new pedometer to keep track of miles and carbs log book pen if you take a coin please leave a coin for others to enjoy
GC137AQ,37.24802,-113.37455,Type.traditional,on the way out to another cache snappy daughter wanted to stop here and check it out she thought this would be a great spot for a cache
GC13D6J,44.81448,-91.52133,Type.traditional,this cache is part of the miles series of caches i say a series but they are all only very loosely linked the miles are the number of miles they are from zumas house and they all obtain a clue to find hbz 51 to obtain the last 5 digits of the north coordinates for hbz 51 you must add up the clues found in the caches mile 1 through mile 25 to obtain the last 5 digits of the west coordinates you must add up all of the clues found in the caches mile 26 through mile 50 hbz 51 was placed by wirobin but the caches you must find to get to it are a coordinated effort of many local cachers happy birthday zuma years ago up above cameron street there was a clay mine that extended down into the area where this cache is the property is now city owned and used for not much which is good for cachers there was a cache here a year or so ago that was archived after a few attempts but this should be hidden better and be less trecherous use caution however there is steep hills dense undergrowth slippery decaying things all in all go slow
GC13FA2,36.66312,-81.90855,Type.traditional,located on the virginia creeper trail between watauga and alvarado parking areas cache is located on cave side of trail on face of rock cliff cache is within 10ft of trail surface no climbing or spelunking required about a 2 mile ridehike from either lot this is a coin theme cache please bring coins smaller than a quarter to trade off if you like initial contents mercury dime jefferson nickel wheatie pennie 2 foreign coins byop general store with snacks and drinks located at alvarado parking area
GC13RAG,42.20342,-106.5926,Type.traditional,this cache is painted camouflage and located in the shirley mountains which i have visited a few times i know that most of the population in the area does not even know it is there the surrounding area is quite beautiful and if you would like to explore the cave which i suggest you do be prepared with a good headlamp or flashlight and some warmer clothes inside the cave are 2 large rooms which also have separate registries belonging to the blm there are some tight spots so it may not be suitable for everyone the easiest way to get there is to take exit 235 for us30 ewy130 eus287 s toward walcottsaratogamedicine bow national forest continue to follow us287us30 til you reach medicine bow take a left on wy 487 continue to follow 222 mi turn left at wy77 65 mi turn left at blm3111q creek sign 58 mi continue on blm3115 then slightly left at difficulty rd slight right toward blm3115 09 mi slight left at blm3115 31 mi blm3115 turns slightly left and becomes shirley mountain loop road slight left 29 mi turn left at prior flat rd and past the campground youll want to take a slight right on a side road past the towers but if you reach an abandoned bus you have gone too far good luck
GC13TZ8,48.01848,-121.47677,Type.traditional,chances are this cache is not for you this is not a parking lot quick grab before you go searching for this one consider these questions do you like crossing streams on wobbly rotten logs do you mind a little bushwhacking boulder hopping eating swarms of unidentified flying bugs scrappling up the cliffside on the other hand if you like taking the path less traveled seeing beautiful streams waterfalls and later in the summer seldom frequented ice caves come and find me cut off of the sunrise mine trail at the remains of manleys cabin where i have another cache this is before crossing the stilly towards headlee pass find the trail that the forest service has tried to hide and follow it up towards del campo when you come to the place in the trail where you need to boulder hop look upthe mine is right there turn into a mountain goat and get up thereits not so baahaad if you can find the mine the cache is easy it will be right there where you are restingresisting the temptation to go in and explore do not go into mines do not go into ice caves do not get lost if anyone knows anything about manley id love to learn more
GC13W1R,36.27255,-82.34662,Type.traditional,cache coordinates are accurate to 60 feet gpsr readings in this area of the park are highly variable so please read the cache description and hint carefully given the information provided youll get the smiley after entering the park take the road to the right and park at the trail head with the posted map of park hike toward the hartsell hollow area in the park follow the white blaze to the blue blaze to the red blaze the cache is near the end of this dead end trail when you see the rusty oil barrel to left of trail an unfortunate but convenient landmark you are within 40 feet of the cache the cache container is a large lock lock with plenty of room for tradeablestrackables initial contents include two travel bugs and a geocoin a logbook with pen and lots of tradeables as always please trade even or better for all trackables and hide cache back as good as or better than it was found please refrain from placing items in the cache that will attract animals or may destroy cache contents such as food liquids or scented items thanks to degani who helped place this cache
GC13Y46,34.3391,-116.83997,Type.traditional,on a monday we were both off and decided to take the drive up 2n02 to big bear from pioneertown in our jeep on the way we placed a number of caches at points of interest that caught our eye we made the trip in 2 wheel drive there was no difficulty with the dirt road and all the caches were nearby the roadway there are no difficult climbs or long hikes involved in finding them on the way back we took hwy 247 this cache was placed on the return trip
GC13ZTF,49.49397,-112.95473,Type.traditional,it is a black 2pipe about 10 long original contents are a swizzel stick 2 aa batteries a hay river pin a red pen on a rewind gizmo and a logbook and pencil this cache is to replace one that i had very near this one that i removed because i thought that it was too dangerous a place just dont let the kids get too close to the edge of the cliff or near the hole at the end of the fence i forgot to put the logbook in a plastic bag so would someone do that for me please also make sure that the cap is on tight
GC1411Q,34.42107,-86.40562,Type.traditional,this cache is on the union grove side of guntersville dam park at cave trail parking area just past gate and to the left heavy tree cover so readings may not be exact around 20 to 30 yards off of trailcontains tools fishing lure and hummer car toy if the listed coordinates dont work you can try n 34 25274 w 086 24328 it just depends on the wind blowing the tree cover and the weather which reading have restocked and put new log in on jan 24
GC141W4,37.22883,-113.5674,Type.traditional,this is a round coffee container with the usual stuff the terrain rateing is at a 3 only because there are a few places where high clearance is a must but a 2 rateing would cover most of the road you can take the turkey farm road all the way over and come out at silver reef or the reverse have fun but be careful
GC142HJ,40.4048,-123.01168,Type.traditional,cache is in black card file plastic box contents are inside of of plastic bag inside is single page log and fifty cent piece
GC145P7,41.05297,-106.17232,Type.traditional,funks mine welcome to our local geocache our family has had a cabin of one sort or another near here for over 30 years we refer to this place simply as the mine however a little research on the internet has reveled that this place is really called funks mine near by is the main mine shaft several prospecting holes and a couple of cabins take a look however i would not recommend going inside any of the structures they dont look very stable anymore there are also two more cabins about another 500 feet farther down the road if you know more about this place please let us know write in the logbook or send us an email to jeffsueread on geocachingcom here is what we were able to find on the internet about this place visit link funks mine georgefunk mica pegmatite prospects fox park albany co wyoming usa ref rocks min 14 381 76382 a feldspar mica beryllium tantalum niobium mine in pegmatite located 4 miles sw of fox park 14 miles n of state 230 and 34 miles sw of laramie sec 32 t 13 n r 78 w owned by mr john l funk note coordinates approximate visit link flashback rocks minerals may 1998 by joel a bartsch fiftythree years ago june 1945 this issue contains fifty pagestwentythree of articles followed by twentyseven of advertisements the lead feature is peter zodacs chips from the quarry which includes a notice from john l funk that his company wyoming minerals of laramie wyoming has purchased the lincoln lodge the lodge we are told is a fine locality for trout fishing and large game hunting more importantly there is a very large mineral display in the lodge office does anyone know what became of the lincoln lodge mr funk or his mineral collection directions drive 37 miles west of laramie wyoming on us highway 230 just south of mile post 37 turn off the highway to the west on a small dirt road numbered 544 there is open gate and a cattle guard at the turnoff also dont worry a car can travel on this road when its dry drive 11 miles making sure to stay on road 544 no need to turn off onto any of the side roads to find this cache when you get to the old mine park in the obvious spot and begin your search in the winter you cannot drive to this cache the road is closed and converted to a snowmobile route however you should be able to get to this cache on snowmobile its very close to the groomed trail bring a shovel and dig in the obvious spot and you should be able to find it about the container sue is a bit of an artist the camoammocan is her artistic impression of a tiger strip camo pattern congrats to emdroscher for the ftf
GC146WF,34.4454,-119.97262,Type.traditional,sixth and final in my beach hike series legend has it that pirates used this cave to hide their treasure inland they hanged poor old robert fairweather from the nearby tree for tellin bout it to a barmaid sorry im just a kid at heart the old cache is gone new cache at new coordinates use the granite slab to get to the hanging tree standard pirate protocal applies x marks the spot original contents wd40 wipe bottle opener moist towletts rubber ball button mtd sb check tides here see photo set
GC147X3,43.9766,-103.84845,Type.traditional,park at the given coordinates below be sure to bring a flashlight and then follow the trail up to the silica mine please make sure the cache is good and covered up as this area does get a lot of traffic and be wary of potential muggles be safe and have fun exploring
GC148E,34.30372,-116.83043,Type.traditional,this one is hard to reach and you must be very careful where you walk there is a a very steep side hill spot where you can slip easily you must walk through the old doble mine glory hole to reach this onethe cache is on the east side of the quarry hidden in a vertical split in a rock which when viewed from the trail you come in on looks like a dogs head looking northwest you must then go around the back of the hill this outcrop is on to find the easy way up you do not have to scale the loose rock at the base of this rock formation to get to it go around back eastward there is a gentle slope that leads right to the base of the dog look for a vertical crack that transects the entire rock face the cache is well hidden in the crack using chunks of rock its about 3 feet from the ground level be careful to look in the crack first to see if anything is having a nap inside the view of the lake and the desert from here is awesome enjoy we placed in the cache 1 mini mag light one southern california mine explorers patcha clicker pokemon toya railroad spike from the gunsite mine near tecopa flat tip screwdriver electronic football game needs charginglog book pencil geocache sheet pair of headlight glasses2 golf ballsa c4 explosives bag used as a prop in the xfiles real prop several nickels smashed by the passage of a train parachute man indian ring energy cmixa small pokeycoupon for one free mrs fields cookie fun post card darth vader collectable figure also look for a motorola frs radio i lost it up there some where its blue
GC14AE,34.48303,-120.2386,Type.traditional,the cache is in an ammo container covered with some rocks at the north opening in the wind cave im not sure if i remembered to put a pen in the cache so if you have an extra please bring it with you there are two ways to get to the wind cave one from the ocean and one from the crosses the way from the ocean is surely easier there is a nice little state park at gaviota beach that would be a good starting point there is a well maintained trail but it is not on any topo maps since it is only about 5 or 6 years old
GC14BYN,33.73858,-118.39437,Type.traditional,the new terranea resort at old marineland with beach access from sunrise to sunset the access trail will take you to the oceans edge with beautiful views rocky coastline and actual cave a few hundred feet from the cache youll see lots of activity with divers fishermen and hikers we are not sure how deep the cave goes didnt go all the way back but its the perfect area for the pirate hide roomy chest filled with booty $1 ftf please use stealth and replace cache as found
GC14CGX,46.94862,-123.76617,Type.traditional,this place is just a humming cache is near where you can park easy gravel road up to sight all up hill but just step a little harder on the gas pedal and you can make it had the older guys in mind when i hid this also those who may ride bikes i used to pick berries here but not this year they were pretty scarce another spot maybe some will visit for the first time cache is an ammo can there maybe an old cache container in brush but you need to find a dry ammo cam cords are good beware wild animals in area not really just golfers nice job ftf tp in a p
GC14CH2,46.9879,-123.90323,Type.traditional,there has been caches here before everyone has seen and felt the bugs i thought we needed another one this summer to keep them growing use bug spray even tho cache is close to parking area they will get ya and into your car watch for fish jumping and otter in river have been seen here we thank you for the blood you donate nice job ftf tp in a p
GC14CH9,46.98008,-123.88552,Type.traditional,i feel this is hoquiams answer to aberdeens art along its river either one has me totally confused as to what it is means or statement it is trying to make again maybe someone can help me figure out what it is and why they have it and not some other town is the proud owner of this art i watched it for about an hour and never did see anyone in there so i guess it is not a light house maybe i need to be there on a stormy dark night and see if it helps the boats get up the river your ideas bring pen nice job ftf tp in a p
GC14CHH,46.98977,-123.81285,Type.traditional,another good view of river lots and lots of animals by the river and in the river some traffic but use your geo skills and you will be fine need a pen nice job ftf tp in a p
GC14CRN,46.99883,-123.40983,Type.traditional,nice easy walk on blacktop trail take the full walk and you may want a sip or two of water very easy rest and sit down at cache take off shoes and cool the dogs bring fish pole swim suit and the dog very nice for kids and a picnic this man made lake helped build the 2 towers you see in the distance thats why the area is minus the rocks there are llamas in the area also enjoy nice job ftf tp in a p
GC14CRY,46.93848,-123.31522,Type.traditional,just another boat launch to enjoy river today was running nice and slow and was very inviting a couple of degrees warmer and there may have been a white whale sighting in the river just what we need cnn down here nice job ftf tp in a p
GC14D5F,47.07165,-124.05343,Type.mystery,cache is not at above posted cords i need some help and by answering you will have hints for a i need to know how many cuts with my power saw do i need to make on a 22ft tree that is already cut down and is about 3ft in diameter so i could have 4 pieces that answer will give you a for b i need to know if i cut one of my trees down and then into blocks and stack them one to the left of me and one on the right of me when i am done with that cedar tree how many piles will i have of cedar for c i need to know how many cuts of a 11ft limbed hemlock will i have to make to end up with 8 blocks of hemlock for d if i cut up 2 small firs split and stack them in a single pile how many piles of fir wood will i have for e if i have a pine cut down and need 10 blocks out of ithow many cuts will i have to make in order to find f if i had one six pack of beer when i started and now only have one bottle left how many did it take to finish the job now you have them all 4704abc 12403def parking kinda tight but not busy road road does go all the way thru nice job ftf kosiusmc water took small cache out so we now have a micro till high water not a lot of room to park but no traffic when you park
GC14DF,37.57743,-118.97823,Type.virtual,fun puzzle cache i visited in an area ive hiked alot in and thought id share a nice trail unvisited by most nice woodsy type trail with no horse st to step in and untraveled by most the coordinates for the actual mine tunnel area are written in the log book of the cal poly puzzle cache which i put as the coordinates of this cache hike up and follow the instructions for a alternate way down if you wish dont worry all trails lead to coldwater normaly i wouldnt share this trail information with just anyone but after all you are my geocache buddies
GC14F30,32.9792,-94.41233,Type.traditional,thought this was a neat oldnew cemetary and it really needed a cache so my son and i placed one here small rubbermaid container with log book and small trade items byop
GC14G7D,34.98073,-85.8064,Type.earthcache,history the rock out which russell cave was carved was formed more than 300 million years ago at the bottom of the inland sea then covering the region a layer of carbonaceous deposits skeletons and shells was transformed into limestone by the pressure of overlying water sand and mud after the sea retreated water dripped through fissures in the limestone the drips became rivulets and then underground streams that cut thousands of tunnels and caverns about 9000 to 11000 years ago the collapse of a cavern roof beneath a hillside in doran cove created a sinkhole and exposed a tunnel carrying water deeper beneath the ground russell cave part of the tunnel entrance was raised above water level by continuing rock falls and it was here that humans sought shelter as early as 7000 bc it grew higher with silt deposited by flooding of the creek that still drains into the cave the combined processes deposits and ceiling rock fallscaused the cave mouth to migrate up the hillside although the deposits eventually raised the floor above flood level human debris and a steady rain of fine material from the roof raised it another 7 or 8 feet today the floor of the upper entrance is some 30 feet above the original rock fall types and formation caves are formed by geologic processes these may involve a combination of chemical processes erosion from water tectonic forces microorganisms pressure and atmospheric influences most caves are formed in limestone by solution primary caves some caves are formed at the same time as the surrounding rock these are called primary caves lava tubes are formed through volcanic activity they are the most common primary caves lava flows downhill and the surface cools and solidifies the lava now flows under this crust until the eruption ends if the liquid lava inside the crust flows out a hollow tube remains numerous lava tubes are found on hawaii big island kazumura cave near hilo is the longest and deepest lava tube of the world and also the eighth longest cave of the united states it is 656km long blister caves are also formed through volcanic activity secondary caves secondary caves are formed inside the rock after the rock itself has formed by processes such as solution and erosion sea caves are found along coasts around the world a special case is littoral caves which are formed by wave action in zones of weakness in sea cliffs often these weaknesses are faults but they may also be dykes or beddingplane contacts some wavecut caves are now above sea level because of later uplift elsewhere in places like thailands phang nga bay solutional caves have been flooded by the sea and are now subject to littoral erosion sea caves are generally around 550m in length but may exceed 300m glacier cave in big four glacier big four mountain washington ca 1920 glacier caves occur in ice and under glaciers formed by melting they are also influenced by the very slow flow of the ice which tends to close the caves again these are sometimes called ice caves though this term is properly reserved for caves which contain yearround ice formations solutional caves may form anywhere with rock which is soluble and are most prevalent in limestone but can also form in other material including chalk dolomite marble granite salt sandstone fossilized coral and gypsum the most common process of cave formation is karstification which is the solution of rocks by rain water fracture caves are formed when layers of more soluble minerals such as gypsum dissolve out from between layers of less soluble rock these rocks fracture and collapse in blocks talus caves are the openings between rocks that have fallen down into a pile often at the bases of cliffs requirements note if you do not include a photo of you owner of the gc account when you log this cache your log will be deleted a photo along with your log is a requirement no exceptions if you choose to make it know you have found the cache add your log as a note until you can add a photo im sorry we have to be this way but i cannot give the two or three week allowances like some do q1 what us president designated russell cave as a national monument and what was the date q2 approximately how wide is the mouth of the cave q3 how many vascular plant species are found in the russell cave region ask a ranger q4 how many varieties of psuedo scorpions are found in the water of russell caveask a ranger q5 what rock composes most of the cave p1 take your picture in front of the cave with your tour guidepark ranger like the sample pic
GC14H89,46.97893,-123.4787,Type.traditional,need a fish pass to park here they say i have been able to stop at these places and spend some time without any trouble but i will not pay your ticket if you get one i have never been approached to get one bring the k kids d dog p pole s swimsuit l lunch this place in the summer offers an invite to enter into the water and cool off weather was really dark and raining hard i thing my numbers are real close but feel free to let me know
GC14H8H,47.02507,-123.34322,Type.traditional,coming soon needed to put one here and see how long i can keep it here love those wide open spaces those with 4 wheel drive will not need to engage it here unless you wish to those with 2 wheel drive no problem i know at one time they were lots of suvs here even some convertables again this was done with a very dark and wet sky numbers may not be right on feel free to let me know
GC14H8X,47.04337,-123.31448,Type.traditional,park after you cross the bridge so you can walk and enjoy the view both sides these numbers maybe off some as it was really wet and dark i kinda took average of cords and think i am real close you will be able to locate it with no trouble enjoy the view i have driven by this road for years and never have stopped to explore it bring pen
GC14JHB,34.10447,-86.2566,Type.traditional,located at the entrance of an old strip mine you cannot enter the mine with your vehicle because it has been closed off but you do not need to go in you can pull off the road and park at the entrance you will have to climb a small hill into the wooded area to find the cache it can be found about 10 or 15 ft into the woods the tree cover made marking difficult so i averaged several readings once you park it should be easy to find please sign the log and be sure to rehide the container as well as you found it or better if you have any trouble send me a messagehappy caching
GC14JHD,44.12658,-103.84945,Type.traditional,cache is an ammo can clearly marked and with lots of items to trade it is up the hill from the cave dont want muggles to find it it is well hidden when you find it please make sure to cover it well again parking is best at the crossing of fsr 190 fsr 190 1t n44 07403 w103 50615 there is a road leading part way to the top of the hill you would need 4wd or atv if you choose to drive part way in on 1t it is a short hike but the terrain going down hill and coming back up the hill gets a bit rough in places caution if you have small ones with you the cave is straight down and over 14 feet deep it isnt a walk in type i have heard stories from the locals about playing in the cave as children someone even told me their 75 year old mother was lowered into the cave by a rope also a rumor has it a gps was lost in that cave take lots of water if the day is warm there are several ways to get to location you can take fsr 17 to 192 or you can get to 190 from the flag mountain road it is the long way around i know there is also a route to hike in from the black fox area but i am told that would be a lot of downed brush and making the cache more difficult updatethanks to the forest service the gps was found and returned to the owners last fall they were really excited about that we didnt try to do the cave but after all the logs maybe when we go back to check the cache we will check out the cave better
GC14QXC,46.66672,-123.81107,Type.traditional,another nice little park i have driven by many times and failed to stop seems like we have alot of these in the area lots of history and info here hang on to the kids hands while looking for cache but lots of room to let them roam after you find it need pen to sign log new espresso right close also please go in and enjoy fresh drink and sconesbakery coffee sit outside and enjoy they are so good bathrooms right in area also perfect stop ummm congrats fritz 59 ftf
GC14QXK,46.6851,-123.82912,Type.traditional,speeding down the road and spotted a herd of elk my car always stops when i see something like that soooo will try to share herd with you they were about 100 feet from where i was parked real easy to see cache is close to where you park hope they are there when you are need pen ftf fritz 59 thanks
GC14THK,34.81483,-119.12265,Type.traditional,on frazier mtn park road there is no such thing as too far follow this road until it leads you right into the mt pinos nordic base at the top this is quite a drive so enjoy the scenery along the way look for signs leading you to mt pinos ignore mt pinos way once in the parking lot of the nordic base face the nordic base and find the well defined trail to the right this trail will be to the left of the pack it in pack it out sign follow this trail to another well defined trail on your left you will see some other smaller trails firstignore those until you come to a well defined trail that leads you to a campsite you will be on the right track if you have to pass through a large fallen redwood tree this is a shoebox sized cache that we won at the 72807 bakersfield hart park cito event the original contents of the cache included log book and pen bob the builder vhs tape 2 mini rescue vehicles kroq sticker geocachingcom window cling tiny basketball chip clip tiny fm radio then we stuffed it full of all kinds of other goodies including a travel bug this was our first hidewe hope you enjoy it
GC1511N,50.90648,-114.02362,Type.earthcache,look at the steep slope just behind the wooden fence surrounding the viewing area just above the small cave you should notice an approx 1m thick layer that looks a little like concrete the gravel in the concrete layer was bonded together by calcium carbonate deposited by spring water running through gravel the calcium carbonate was picked up in the higher sediment layers heres a sneak peak at a section of the ice cave the concrete layer is solid enough that it forms a roof over a small cave that has eroded out from underneath as you face the cave you will notice a section on the right that looks like it may have fallen away from the roof and settled lower than the rest of the concrete layer moisture collects in this cave and stays frozen well into the spring which is why this feature is locally known as an ice cave there are a few more caves farther along the bank but the stream bank is unstable in this area so please limit your viewing to the ice cave at the posted coordinates after you finish studying the ice cave turn around and you will enjoy scenery like this looking upstream from the viewing area to log this cache please complete the following email the cache owner do not post your description of the colour shape and approximate exposed dimensions of the largest piece of gravel you can spot in the face of the concrete layer as proof of visit email the cache owner do not post the number of benches installed in the viewing area in your online log feel free to describe your visit to the fish creek park and to upload your best digital photos from your visit but please ensure any photos do not show the details necessary to log this cache click here to send email source calgarys natural parks yours to explore by jim foley copyright 2006 calgary field naturalists society
